type,name,steam_appid,required_age,is_free,controller_support,dlc,detailed_description,about_the_game,short_description,fullgame,supported_languages,header_image,website,pc_requirements,mac_requirements,linux_requirements,legal_notice,drm_notice,ext_user_account_notice,developers,publishers,demos,price_overview,packages,package_groups,platforms,metacritic,reviews,categories,genres,screenshots,movies,recommendations,achievements,release_date,support_info,background,content_descriptors
,ValveTestApp852,852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Puzzlegeddon,8740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Borderlands DLC: Claptrap's New Robot Revolution,8955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
game,Sherlock Holmes: The Mystery of the Persian Carpet,11180,0,False,,,"Hunker down at your London flat at 221b Baker St. The year is 1896, and Scotland Yard has called Sherlock Holmes with an urgent request for help. A young painter has been found murdered and rolled up in a remarkable Persian carpet. Along with Watson, you must investigate the peculiar crime, exploring crime scene locations in search of missing clues.<br><br>   Interact with suspects, and analyze police reports and witness statements to solve the crime and unravel the mystery of the Persian carpet! <br><br>						<ul class=""bb_ul""><li>Search for crime scene for hidden objects<br>						</li><li>Analyse clues and Police findings<br>						</li><li>Investigate numerous suspects<br>						</li><li>Review your progress by studying the Holmes' Deduction Board<br>						</li><li>Interactive gameplay<br>						</li><li>Detailed, atmospheric 3D scenes<br>						</li><li>Period background music<br>						</li><li>Bonus mini-puzzle games!<br>						</li></ul>","Hunker down at your London flat at 221b Baker St. The year is 1896, and Scotland Yard has called Sherlock Holmes with an urgent request for help. A young painter has been found murdered and rolled up in a remarkable Persian carpet. Along with Watson, you must investigate the peculiar crime, exploring crime scene locations in search of missing clues.<br><br>   Interact with suspects, and analyze police reports and witness statements to solve the crime and unravel the mystery of the Persian carpet! <br><br>						<ul class=""bb_ul""><li>Search for crime scene for hidden objects<br>						</li><li>Analyse clues and Police findings<br>						</li><li>Investigate numerous suspects<br>						</li><li>Review your progress by studying the Holmes' Deduction Board<br>						</li><li>Interactive gameplay<br>						</li><li>Detailed, atmospheric 3D scenes<br>						</li><li>Period background music<br>						</li><li>Bonus mini-puzzle games!<br>						</li></ul>","Scotland Yard has called Sherlock Holmes with an urgent request for help! A young painter has been found murdered and rolled up in a remarkable Persian carpet. Along with Watson, you must investigate the peculiar crime, exploring crime scene locations in search of missing clues.",,"English, French, German, Spanish - Spain",https://cdn.akamai.steamstatic.com/steam/apps/11180/header.jpg?t=1608656325,http://frogwares.com/,"{'minimum': '<ul class=""bb_ul""><li><strong>OS:</strong> Microsoft Windows 2000/XP/Vista<br>\t\t\t\t\t\t\t\t</li><li><strong>Processor:</strong> Pentium III 600 MHz or higher and AMD Athlon<br>\t\t\t\t\t\t\t\t</li><li><strong>Memory:</strong> 256 Mb RAM<br>\t\t\t\t\t\t\t\t</li><li><strong>Graphics:</strong> 32 MB Microsoft DirectX 9-compliant video card<br>\t\t\t\t\t\t\t\t</li><li><strong>Hard Drive:</strong> 300Mb hard disk drive<br>\t\t\t\t\t\t\t\t</li><li><strong>Sound:</strong> DirectX® compatible sound card<br>\t\t\t\t\t\t\t </li></ul>'}",[],[],© 2019. Frogwares Ireland Ltd. All rights reserved. “Sherlock Holmes: The Mystery of the Persian Carpet” is a registered trademark of Frogwares Ireland Ltd. All rights reserved.,,,['Frogwares'],['Frogwares'],,"{'currency': 'TWD', 'initial': 29900, 'final': 29900, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': 'NT$ 299'}","[2676, 108311]","[{'name': 'default', 'title': 'Buy Sherlock Holmes: The Mystery of the Persian Carpet', 'description': '', 'selection_text': 'Select a purchase option', 'save_text': '', 'display_type': 0, 'is_recurring_subscription': 'false', 'subs': [{'packageid': 2676, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Sherlock Holmes: The Mystery of the Persian Carpet - NT$ 299', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 29900}, {'packageid': 108311, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'The Sherlock Holmes Collection - NT$ 1,199', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 119900}]}]","{'windows': True, 'mac': False, 'linux': False}",,,"[{'id': 2, 'description': 'Single-player'}]","[{'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}]","[{'id': 0, 'path_thumbnail': 'https://cdn.akamai.steamstatic.com/steam/apps/11180/ss_82a8c318b330d89197f1869951071d66e0db8cc5.600x338.jpg?t=1608656325', 'path_full': 'https://cdn.akamai.steamstatic.com/steam/apps/11180/ss_82a8c318b330d89197f1869951071d66e0db8cc5.1920x1080.jpg?t=1608656325'}, {'id': 1, 'path_thumbnail': 'https://cdn.akamai.steamstatic.com/steam/apps/11180/ss_2350b893dbc903a6d1a274d4ebc7195765062a05.600x338.jpg?t=1608656325', 'path_full': 'https://cdn.akamai.steamstatic.com/steam/apps/11180/ss_2350b893dbc903a6d1a274d4ebc7195765062a05.1920x1080.jpg?t=1608656325'}, {'id': 2, 'path_thumbnail': 'https://cdn.akamai.steamstatic.com/steam/apps/11180/ss_98088b74752142af20856a95884c62e7c30866c6.600x338.jpg?t=1608656325', 'path_full': 'https://cdn.akamai.steamstatic.com/steam/apps/11180/ss_98088b74752142af20856a95884c62e7c30866c6.1920x1080.jpg?t=1608656325'}, {'id': 3, 'path_thumbnail': 'https://cdn.akamai.steamstatic.com/steam/apps/11180/ss_d6058f9a4ee49053ec4fc27ab853a2db21585257.600x338.jpg?t=1608656325', 'path_full': 'https://cdn.akamai.steamstatic.com/steam/apps/11180/ss_d6058f9a4ee49053ec4fc27ab853a2db21585257.1920x1080.jpg?t=1608656325'}, {'id': 4, 'path_thumbnail': 'https://cdn.akamai.steamstatic.com/steam/apps/11180/ss_f5e57e6e9d8d97ca11ae929fb9c34379272770f7.600x338.jpg?t=1608656325', 'path_full': 'https://cdn.akamai.steamstatic.com/steam/apps/11180/ss_f5e57e6e9d8d97ca11ae929fb9c34379272770f7.1920x1080.jpg?t=1608656325'}, {'id': 5, 'path_thumbnail': 'https://cdn.akamai.steamstatic.com/steam/apps/11180/ss_ddb0c08c67ad6d711547b0dfbef72dc8c7f14279.600x338.jpg?t=1608656325', 'path_full': 'https://cdn.akamai.steamstatic.com/steam/apps/11180/ss_ddb0c08c67ad6d711547b0dfbef72dc8c7f14279.1920x1080.jpg?t=1608656325'}, {'id': 6, 'path_thumbnail': 'https://cdn.akamai.steamstatic.com/steam/apps/11180/ss_ac9ff42da8613655a014b988453364d6b366760b.600x338.jpg?t=1608656325', 'path_full': 'https://cdn.akamai.steamstatic.com/steam/apps/11180/ss_ac9ff42da8613655a014b988453364d6b366760b.1920x1080.jpg?t=1608656325'}, {'id': 7, 'path_thumbnail': 'https://cdn.akamai.steamstatic.com/steam/apps/11180/ss_d0b8851a5261cceb398fad88c2d8ebe66a6b1d7e.600x338.jpg?t=1608656325', 'path_full': 'https://cdn.akamai.steamstatic.com/steam/apps/11180/ss_d0b8851a5261cceb398fad88c2d8ebe66a6b1d7e.1920x1080.jpg?t=1608656325'}]",,{'total': 264},,"{'coming_soon': False, 'date': ''}","{'url': 'http://frogwares.com/support/', 'email': 'support@frogwares.com'}",https://cdn.akamai.steamstatic.com/steam/apps/11180/page_bg_generated_v6b.jpg?t=1608656325,"{'ids': [], 'notes': None}"
,America's Army 3 Beta,13120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spectraball - Demo,18310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Madballs in...Babo: Invasion Dev,25730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blood Bowl 2 - Review,29017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
game,Sam & Max 303: They Stole Max's Brain!,31240,0,False,,,"Wield psychic powers against fearsome foes in this epic comedy saga.<br />
<br />
In The Devil’s Playhouse, an otherworldly power for controlling matter and space calls to the strongest and strangest who might wield it -- intergalactic warlords and eldritch gods, under-dwellers and scholars of the arcane.<br />
<br />
Gaming's greatest dog and rabbit sleuths Sam &amp; Max seek the power’s ancient secrets, as manic Max gains shape shifting, teleportation, mind reading and future vision abilities for battling these foes.<br />
<br />
The saga plays out in a surreal symphony of mayhem that gets deeper and more twisted with each episode.","Wield psychic powers against fearsome foes in this epic comedy saga.<br />
<br />
In The Devil’s Playhouse, an otherworldly power for controlling matter and space calls to the strongest and strangest who might wield it -- intergalactic warlords and eldritch gods, under-dwellers and scholars of the arcane.<br />
<br />
Gaming's greatest dog and rabbit sleuths Sam &amp; Max seek the power’s ancient secrets, as manic Max gains shape shifting, teleportation, mind reading and future vision abilities for battling these foes.<br />
<br />
The saga plays out in a surreal symphony of mayhem that gets deeper and more twisted with each episode.","Wield psychic powers against fearsome foes in this epic comedy saga. In The Devil’s Playhouse, an otherworldly power for controlling matter and space calls to the strongest and strangest who might wield it -- intergalactic warlords and eldritch gods, under-dwellers and scholars of the arcane.",,English<strong>*</strong><br><strong>*</strong>languages with full audio support,https://cdn.akamai.steamstatic.com/steam/apps/31240/header.jpg?t=1613874197,,[],[],[],,,,['Telltale Games'],['Skunkape Games'],,,"[109587, 4172]","[{'name': 'default', 'title': ""Buy Sam & Max 303: They Stole Max's Brain!"", 'description': '', 'selection_text': 'Select a purchase option', 'save_text': '', 'display_type': 0, 'is_recurring_subscription': 'false', 'subs': [{'packageid': 4172, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': ""Sam & Max: The Devil's Playhouse - NT$ 186"", 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 18600}]}]","{'windows': True, 'mac': True, 'linux': False}",,,"[{'id': 2, 'description': 'Single-player'}]","[{'id': '25', 'description': 'Adventure'}]",,,,,"{'coming_soon': False, 'date': ''}","{'url': 'https://telltale.com/support/', 'email': ''}",,"{'ids': [], 'notes': None}"
